sentence,context_before,context_after,section,thesis_code
"They are therefore provided not only with more detailed information on opening hours and admission, but, according to their status of students, seniors, members, etc., are involved in new collateral activities related to the exhibition and organized ad hoc, such as lectures, films, special events, guided tours.","rhetorical resources (Bhatia 2004). We might expect that also EPAs, and museum public relations in general, were influenced by the innovative character and creative language of advertising. After the second turning point, from the 1980s onwards, an increasing need for self- reference can be noted, realized through a detailed mention of the exhibition credits and, mostly, an accurate account of the people who made possible the event, quoting one of the most recurrent phrases in the EPAs of that period. Significantly, curators are not necessarily the most prominent figures behind the exhibition, because sponsors compete with them for attention and their mention can even outnumber that of curators. In this period the structure of EPAs also reflect the complete acknowledgement of the role played by visitors in determining the success of an exhibition.","Also for this period, as for the previous one, cultural change related to the specific field of museum settings may be invoked to explain the structural development of EPAs. As pointed out in the first chapter of the thesis (section 1.1), in the 1980s the contribution of public funds to museums remained static or drastically fell, so that financial concerns have emerged. Museums’ governing bodies and directors have had to seek funding from alternative sources: annual memberships and visitor fees have been introduced (Alexander 1999). This explains the more relevant role gained by sponsors within the structure of EPAs, but also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools. Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning",conclusion,conclusion_2
"Also for this period, as for the previous one, cultural change related to the specific field of museum settings may be invoked to explain the structural development of EPAs.","of the exhibition credits and, mostly, an accurate account of the people who made possible the event, quoting one of the most recurrent phrases in the EPAs of that period. Significantly, curators are not necessarily the most prominent figures behind the exhibition, because sponsors compete with them for attention and their mention can even outnumber that of curators. In this period the structure of EPAs also reflect the complete acknowledgement of the role played by visitors in determining the success of an exhibition. They are therefore provided not only with more detailed information on opening hours and admission, but, according to their status of students, seniors, members, etc., are involved in new collateral activities related to the exhibition and organized ad hoc, such as lectures, films, special events, guided tours.","As pointed out in the first chapter of the thesis (section 1.1), in the 1980s the contribution of public funds to museums remained static or drastically fell, so that financial concerns have emerged. Museums’ governing bodies and directors have had to seek funding from alternative sources: annual memberships and visitor fees have been introduced (Alexander 1999). This explains the more relevant role gained by sponsors within the structure of EPAs, but also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools. Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today",conclusion,conclusion_2
"As pointed out in the first chapter of the thesis (section 1.1), in the 1980s the contribution of public funds to museums remained static or drastically fell, so that financial concerns have emerged.","period. Significantly, curators are not necessarily the most prominent figures behind the exhibition, because sponsors compete with them for attention and their mention can even outnumber that of curators. In this period the structure of EPAs also reflect the complete acknowledgement of the role played by visitors in determining the success of an exhibition. They are therefore provided not only with more detailed information on opening hours and admission, but, according to their status of students, seniors, members, etc., are involved in new collateral activities related to the exhibition and organized ad hoc, such as lectures, films, special events, guided tours. Also for this period, as for the previous one, cultural change related to the specific field of museum settings may be invoked to explain the structural development of EPAs.","Museums’ governing bodies and directors have had to seek funding from alternative sources: annual memberships and visitor fees have been introduced (Alexander 1999). This explains the more relevant role gained by sponsors within the structure of EPAs, but also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools. Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today the most popular days to visit museums (McLean 1993). From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live",conclusion,conclusion_2
Museums’ governing bodies and directors have had to seek funding from alternative sources: annual memberships and visitor fees have been introduced (Alexander 1999).,"of EPAs also reflect the complete acknowledgement of the role played by visitors in determining the success of an exhibition. They are therefore provided not only with more detailed information on opening hours and admission, but, according to their status of students, seniors, members, etc., are involved in new collateral activities related to the exhibition and organized ad hoc, such as lectures, films, special events, guided tours. Also for this period, as for the previous one, cultural change related to the specific field of museum settings may be invoked to explain the structural development of EPAs. As pointed out in the first chapter of the thesis (section 1.1), in the 1980s the contribution of public funds to museums remained static or drastically fell, so that financial concerns have emerged.","This explains the more relevant role gained by sponsors within the structure of EPAs, but also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools. Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today the most popular days to visit museums (McLean 1993). From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live place, open to people of all ages. A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet,",conclusion,conclusion_2
"This explains the more relevant role gained by sponsors within the structure of EPAs, but also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools.","more detailed information on opening hours and admission, but, according to their status of students, seniors, members, etc., are involved in new collateral activities related to the exhibition and organized ad hoc, such as lectures, films, special events, guided tours. Also for this period, as for the previous one, cultural change related to the specific field of museum settings may be invoked to explain the structural development of EPAs. As pointed out in the first chapter of the thesis (section 1.1), in the 1980s the contribution of public funds to museums remained static or drastically fell, so that financial concerns have emerged. Museums’ governing bodies and directors have had to seek funding from alternative sources: annual memberships and visitor fees have been introduced (Alexander 1999).","Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today the most popular days to visit museums (McLean 1993). From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live place, open to people of all ages. A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet, which however did not compromise the generic structure of EPAs, already consolidated by then. The World Wide Web rather revolutionized the way EPAs are sent and used, as pointed out in",conclusion,conclusion_2
"Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today the most popular days to visit museums (McLean 1993).","exhibition and organized ad hoc, such as lectures, films, special events, guided tours. Also for this period, as for the previous one, cultural change related to the specific field of museum settings may be invoked to explain the structural development of EPAs. As pointed out in the first chapter of the thesis (section 1.1), in the 1980s the contribution of public funds to museums remained static or drastically fell, so that financial concerns have emerged. Museums’ governing bodies and directors have had to seek funding from alternative sources: annual memberships and visitor fees have been introduced (Alexander 1999). This explains the more relevant role gained by sponsors within the structure of EPAs, but also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools.","From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live place, open to people of all ages. A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet, which however did not compromise the generic structure of EPAs, already consolidated by then. The World Wide Web rather revolutionized the way EPAs are sent and used, as pointed out in chapter 1 (section 1.1) and 5 (section 5.2). This major change concerns press releases in general and implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences. There is evidence that the e-dimension – i.e. publication on websites",conclusion,conclusion_2
"From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live place, open to people of all ages.","1.1), in the 1980s the contribution of public funds to museums remained static or drastically fell, so that financial concerns have emerged. Museums’ governing bodies and directors have had to seek funding from alternative sources: annual memberships and visitor fees have been introduced (Alexander 1999). This explains the more relevant role gained by sponsors within the structure of EPAs, but also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools. Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today the most popular days to visit museums (McLean 1993).","A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet, which however did not compromise the generic structure of EPAs, already consolidated by then. The World Wide Web rather revolutionized the way EPAs are sent and used, as pointed out in chapter 1 (section 1.1) and 5 (section 5.2). This major change concerns press releases in general and implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences. There is evidence that the e-dimension – i.e. publication on websites – has been changing use and language of press releases, justifying the shift towards a more promotional tone in comparison with traditional paper press releases (Strobbe / Jacobs 2005). Since evaluative",conclusion,conclusion_2
"A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet, which however did not compromise the generic structure of EPAs, already consolidated by then.","seek funding from alternative sources: annual memberships and visitor fees have been introduced (Alexander 1999). This explains the more relevant role gained by sponsors within the structure of EPAs, but also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools. Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today the most popular days to visit museums (McLean 1993). From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live place, open to people of all ages.","The World Wide Web rather revolutionized the way EPAs are sent and used, as pointed out in chapter 1 (section 1.1) and 5 (section 5.2). This major change concerns press releases in general and implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences. There is evidence that the e-dimension – i.e. publication on websites – has been changing use and language of press releases, justifying the shift towards a more promotional tone in comparison with traditional paper press releases (Strobbe / Jacobs 2005). Since evaluative language is already attested in 1950s EPAs and seems to be a constant of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible",conclusion,conclusion_2
"The World Wide Web rather revolutionized the way EPAs are sent and used, as pointed out in chapter 1 (section 1.1) and 5 (section 5.2).","also the introduction of collateral events addressed to visitors, functional both as educational and marketing tools. Thus, the attention towards visitors has also to be contextualized into a new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today the most popular days to visit museums (McLean 1993). From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live place, open to people of all ages. A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet, which however did not compromise the generic structure of EPAs, already consolidated by then.","This major change concerns press releases in general and implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences. There is evidence that the e-dimension – i.e. publication on websites – has been changing use and language of press releases, justifying the shift towards a more promotional tone in comparison with traditional paper press releases (Strobbe / Jacobs 2005). Since evaluative language is already attested in 1950s EPAs and seems to be a constant of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible of promotionality in EPAs. More research would be needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe",conclusion,conclusion_2
"This major change concerns press releases in general and implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences.","new, positive situation concerning museums: for most of the twentieth century they had been academic enclaves, the domain of curators and art historians, but they were closed on weekends or holidays, today the most popular days to visit museums (McLean 1993). From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live place, open to people of all ages. A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet, which however did not compromise the generic structure of EPAs, already consolidated by then. The World Wide Web rather revolutionized the way EPAs are sent and used, as pointed out in chapter 1 (section 1.1) and 5 (section 5.2).","There is evidence that the e-dimension – i.e. publication on websites – has been changing use and language of press releases, justifying the shift towards a more promotional tone in comparison with traditional paper press releases (Strobbe / Jacobs 2005). Since evaluative language is already attested in 1950s EPAs and seems to be a constant of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible of promotionality in EPAs. More research would be needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe could be ascribed to art discourse in general. However, the fact that from the 1990s onward EPAs are also placed on the Web, where media people can access them selectively, wherever and whenever they",conclusion,conclusion_2
"There is evidence that the e-dimension – i.e. publication on websites – has been changing use and language of press releases, justifying the shift towards a more promotional tone in comparison with traditional paper press releases (Strobbe / Jacobs 2005).","most popular days to visit museums (McLean 1993). From the 1980s American and British museums experienced broader cultural changes, which led to the idea of museum as we know it: a live place, open to people of all ages. A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet, which however did not compromise the generic structure of EPAs, already consolidated by then. The World Wide Web rather revolutionized the way EPAs are sent and used, as pointed out in chapter 1 (section 1.1) and 5 (section 5.2). This major change concerns press releases in general and implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences.","Since evaluative language is already attested in 1950s EPAs and seems to be a constant of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible of promotionality in EPAs. More research would be needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe could be ascribed to art discourse in general. However, the fact that from the 1990s onward EPAs are also placed on the Web, where media people can access them selectively, wherever and whenever they need them, without even calling the museum, has undoubtedly ignited a great competition among writers, determining an increasing creative effort among writers, who strive for attention, press coverage and good reviews. Moreover, the advent of Internet did",conclusion,conclusion_2
"Since evaluative language is already attested in 1950s EPAs and seems to be a constant of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible of promotionality in EPAs.","ages. A groundbreaking event related to the period comprised between 1980 and 2009 is the advent of the Internet, which however did not compromise the generic structure of EPAs, already consolidated by then. The World Wide Web rather revolutionized the way EPAs are sent and used, as pointed out in chapter 1 (section 1.1) and 5 (section 5.2). This major change concerns press releases in general and implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences. There is evidence that the e-dimension – i.e. publication on websites – has been changing use and language of press releases, justifying the shift towards a more promotional tone in comparison with traditional paper press releases (Strobbe / Jacobs 2005).","More research would be needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe could be ascribed to art discourse in general. However, the fact that from the 1990s onward EPAs are also placed on the Web, where media people can access them selectively, wherever and whenever they need them, without even calling the museum, has undoubtedly ignited a great competition among writers, determining an increasing creative effort among writers, who strive for attention, press coverage and good reviews. Moreover, the advent of Internet did not imply a textual contraction or a more refined selection of contents for EPAs. On the contrary, as shown by data on the corpus size reported in chapter 7, EPAs have become longer, more syntactically developed and lexically",conclusion,conclusion_2
"More research would be needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe could be ascribed to art discourse in general.","revolutionized the way EPAs are sent and used, as pointed out in chapter 1 (section 1.1) and 5 (section 5.2). This major change concerns press releases in general and implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences. There is evidence that the e-dimension – i.e. publication on websites – has been changing use and language of press releases, justifying the shift towards a more promotional tone in comparison with traditional paper press releases (Strobbe / Jacobs 2005). Since evaluative language is already attested in 1950s EPAs and seems to be a constant of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible of promotionality in EPAs.","However, the fact that from the 1990s onward EPAs are also placed on the Web, where media people can access them selectively, wherever and whenever they need them, without even calling the museum, has undoubtedly ignited a great competition among writers, determining an increasing creative effort among writers, who strive for attention, press coverage and good reviews. Moreover, the advent of Internet did not imply a textual contraction or a more refined selection of contents for EPAs. On the contrary, as shown by data on the corpus size reported in chapter 7, EPAs have become longer, more syntactically developed and lexically richer over time. Their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s, so as the number of words",conclusion,conclusion_2
"However, the fact that from the 1990s onward EPAs are also placed on the Web, where media people can access them selectively, wherever and whenever they need them, without even calling the museum, has undoubtedly ignited a great competition among writers, determining an increasing creative effort among writers, who strive for attention, press coverage and good reviews.","implies that, once they have been published on websites, journalistic intervention, also known as “gatekeeping”, can be completely bypassed in reaching audiences. There is evidence that the e-dimension – i.e. publication on websites – has been changing use and language of press releases, justifying the shift towards a more promotional tone in comparison with traditional paper press releases (Strobbe / Jacobs 2005). Since evaluative language is already attested in 1950s EPAs and seems to be a constant of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible of promotionality in EPAs. More research would be needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe could be ascribed to art discourse in general.","Moreover, the advent of Internet did not imply a textual contraction or a more refined selection of contents for EPAs. On the contrary, as shown by data on the corpus size reported in chapter 7, EPAs have become longer, more syntactically developed and lexically richer over time. Their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s, so as the number of words used in each sentence (+ 3.44) and the lexical variety, measured by the STTR ( +2.45), have increased. In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things",conclusion,conclusion_2
"Moreover, the advent of Internet did not imply a textual contraction or a more refined selection of contents for EPAs.","(Strobbe / Jacobs 2005). Since evaluative language is already attested in 1950s EPAs and seems to be a constant of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible of promotionality in EPAs. More research would be needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe could be ascribed to art discourse in general. However, the fact that from the 1990s onward EPAs are also placed on the Web, where media people can access them selectively, wherever and whenever they need them, without even calling the museum, has undoubtedly ignited a great competition among writers, determining an increasing creative effort among writers, who strive for attention, press coverage and good reviews.","On the contrary, as shown by data on the corpus size reported in chapter 7, EPAs have become longer, more syntactically developed and lexically richer over time. Their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s, so as the number of words used in each sentence (+ 3.44) and the lexical variety, measured by the STTR ( +2.45), have increased. In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things to say and this required more words. Moreover, it has to be noted that generally EPAs can be downloaded from",conclusion,conclusion_2
"On the contrary, as shown by data on the corpus size reported in chapter 7, EPAs have become longer, more syntactically developed and lexically richer over time.","of the genre (see section 10.1), we cannot claim that the e-dimension is the main and first responsible of promotionality in EPAs. More research would be needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe could be ascribed to art discourse in general. However, the fact that from the 1990s onward EPAs are also placed on the Web, where media people can access them selectively, wherever and whenever they need them, without even calling the museum, has undoubtedly ignited a great competition among writers, determining an increasing creative effort among writers, who strive for attention, press coverage and good reviews. Moreover, the advent of Internet did not imply a textual contraction or a more refined selection of contents for EPAs.","Their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s, so as the number of words used in each sentence (+ 3.44) and the lexical variety, measured by the STTR ( +2.45), have increased. In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things to say and this required more words. Moreover, it has to be noted that generally EPAs can be downloaded from websites in a ‘frozen’ format, (see Garzone 2012: 34-35), i.e. in *.doc or *.pdf. These electronic formats reproduce the",conclusion,conclusion_2
"Their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s, so as the number of words used in each sentence (+ 3.44) and the lexical variety, measured by the STTR ( +2.45), have increased.","needed in order to explain the inner vocation to positive evaluation of artworks, artists and exhibitions characterising EPAs, which maybe could be ascribed to art discourse in general. However, the fact that from the 1990s onward EPAs are also placed on the Web, where media people can access them selectively, wherever and whenever they need them, without even calling the museum, has undoubtedly ignited a great competition among writers, determining an increasing creative effort among writers, who strive for attention, press coverage and good reviews. Moreover, the advent of Internet did not imply a textual contraction or a more refined selection of contents for EPAs. On the contrary, as shown by data on the corpus size reported in chapter 7, EPAs have become longer, more syntactically developed and lexically richer over time.","In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things to say and this required more words. Moreover, it has to be noted that generally EPAs can be downloaded from websites in a ‘frozen’ format, (see Garzone 2012: 34-35), i.e. in *.doc or *.pdf. These electronic formats reproduce the aspect of a printed – and therefore static – document, the same that EPAs already had in the 1950s, when they were typewritten. As a consequence, EPA writers do not have to keep the content short to fit the screen but are free to write as long as they need. The",conclusion,conclusion_2
"In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things to say and this required more words.","wherever and whenever they need them, without even calling the museum, has undoubtedly ignited a great competition among writers, determining an increasing creative effort among writers, who strive for attention, press coverage and good reviews. Moreover, the advent of Internet did not imply a textual contraction or a more refined selection of contents for EPAs. On the contrary, as shown by data on the corpus size reported in chapter 7, EPAs have become longer, more syntactically developed and lexically richer over time. Their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s, so as the number of words used in each sentence (+ 3.44) and the lexical variety, measured by the STTR ( +2.45), have increased.","Moreover, it has to be noted that generally EPAs can be downloaded from websites in a ‘frozen’ format, (see Garzone 2012: 34-35), i.e. in *.doc or *.pdf. These electronic formats reproduce the aspect of a printed – and therefore static – document, the same that EPAs already had in the 1950s, when they were typewritten. As a consequence, EPA writers do not have to keep the content short to fit the screen but are free to write as long as they need. The fixed layout also minimizes the effects of multimodality, hypertextuality and interactivity, typical features of web pages, on EPAs, living their second life on the web as separate, independent creatures. 10.3 Differences between the American and British sub-corpora As the EPA Diacorpus is almost",conclusion,conclusion_2
"Moreover, it has to be noted that generally EPAs can be downloaded from websites in a ‘frozen’ format, (see Garzone 2012: 34-35), i.e. in *.doc or *.pdf.","imply a textual contraction or a more refined selection of contents for EPAs. On the contrary, as shown by data on the corpus size reported in chapter 7, EPAs have become longer, more syntactically developed and lexically richer over time. Their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s, so as the number of words used in each sentence (+ 3.44) and the lexical variety, measured by the STTR ( +2.45), have increased. In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things to say and this required more words.","These electronic formats reproduce the aspect of a printed – and therefore static – document, the same that EPAs already had in the 1950s, when they were typewritten. As a consequence, EPA writers do not have to keep the content short to fit the screen but are free to write as long as they need. The fixed layout also minimizes the effects of multimodality, hypertextuality and interactivity, typical features of web pages, on EPAs, living their second life on the web as separate, independent creatures. 10.3 Differences between the American and British sub-corpora As the EPA Diacorpus is almost equally divided into two sub-sections, one comprising American EPAs and one comprising British EPAs, the difference between the two in terms of diachronic variation was a research question worthy of investigation. In general terms, we may",conclusion,conclusion_2
"These electronic formats reproduce the aspect of a printed – and therefore static – document, the same that EPAs already had in the 1950s, when they were typewritten.","lexically richer over time. Their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s, so as the number of words used in each sentence (+ 3.44) and the lexical variety, measured by the STTR ( +2.45), have increased. In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things to say and this required more words. Moreover, it has to be noted that generally EPAs can be downloaded from websites in a ‘frozen’ format, (see Garzone 2012: 34-35), i.e. in *.doc or *.pdf.","As a consequence, EPA writers do not have to keep the content short to fit the screen but are free to write as long as they need. The fixed layout also minimizes the effects of multimodality, hypertextuality and interactivity, typical features of web pages, on EPAs, living their second life on the web as separate, independent creatures. 10.3 Differences between the American and British sub-corpora As the EPA Diacorpus is almost equally divided into two sub-sections, one comprising American EPAs and one comprising British EPAs, the difference between the two in terms of diachronic variation was a research question worthy of investigation. In general terms, we may point out that only a few differences were highlighted; moreover, the most relevant discrepancy is at a macro-level and concerns the way communication is conceived by museum professionals.",conclusion,conclusion_2
"As a consequence, EPA writers do not have to keep the content short to fit the screen but are free to write as long as they need.","as the number of words used in each sentence (+ 3.44) and the lexical variety, measured by the STTR ( +2.45), have increased. In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things to say and this required more words. Moreover, it has to be noted that generally EPAs can be downloaded from websites in a ‘frozen’ format, (see Garzone 2012: 34-35), i.e. in *.doc or *.pdf. These electronic formats reproduce the aspect of a printed – and therefore static – document, the same that EPAs already had in the 1950s, when they were typewritten.","The fixed layout also minimizes the effects of multimodality, hypertextuality and interactivity, typical features of web pages, on EPAs, living their second life on the web as separate, independent creatures. 10.3 Differences between the American and British sub-corpora As the EPA Diacorpus is almost equally divided into two sub-sections, one comprising American EPAs and one comprising British EPAs, the difference between the two in terms of diachronic variation was a research question worthy of investigation. In general terms, we may point out that only a few differences were highlighted; moreover, the most relevant discrepancy is at a macro-level and concerns the way communication is conceived by museum professionals. This result actually reinforces one of the methodological principle upon which the EPA Diacorpus was built, that regarding the appropriateness of an hybrid corpus comprising British and American",conclusion,conclusion_2
"The fixed layout also minimizes the effects of multimodality, hypertextuality and interactivity, typical features of web pages, on EPAs, living their second life on the web as separate, independent creatures.",". In view of our analysis of diachronic structural variation, which highlighted the shift from a three-move to a five-move structure, an expansion in terms of length does not come as a surprise: obviously, writers had more things to say and this required more words. Moreover, it has to be noted that generally EPAs can be downloaded from websites in a ‘frozen’ format, (see Garzone 2012: 34-35), i.e. in *.doc or *.pdf. These electronic formats reproduce the aspect of a printed – and therefore static – document, the same that EPAs already had in the 1950s, when they were typewritten. As a consequence, EPA writers do not have to keep the content short to fit the screen but are free to write as long as they need.","10.3 Differences between the American and British sub-corpora As the EPA Diacorpus is almost equally divided into two sub-sections, one comprising American EPAs and one comprising British EPAs, the difference between the two in terms of diachronic variation was a research question worthy of investigation. In general terms, we may point out that only a few differences were highlighted; moreover, the most relevant discrepancy is at a macro-level and concerns the way communication is conceived by museum professionals. This result actually reinforces one of the methodological principle upon which the EPA Diacorpus was built, that regarding the appropriateness of an hybrid corpus comprising British and American EPAs (see chapter 6). Since the beginning of the study, in fact, we have been arguing for the similarity of British and American EPAs, so that they can be studied",conclusion,conclusion_2
"10.3 Differences between the American and British sub-corpora As the EPA Diacorpus is almost equally divided into two sub-sections, one comprising American EPAs and one comprising British EPAs, the difference between the two in terms of diachronic variation was a research question worthy of investigation.","obviously, writers had more things to say and this required more words. Moreover, it has to be noted that generally EPAs can be downloaded from websites in a ‘frozen’ format, (see Garzone 2012: 34-35), i.e. in *.doc or *.pdf. These electronic formats reproduce the aspect of a printed – and therefore static – document, the same that EPAs already had in the 1950s, when they were typewritten. As a consequence, EPA writers do not have to keep the content short to fit the screen but are free to write as long as they need. The fixed layout also minimizes the effects of multimodality, hypertextuality and interactivity, typical features of web pages, on EPAs, living their second life on the web as separate, independent creatures.","In general terms, we may point out that only a few differences were highlighted; moreover, the most relevant discrepancy is at a macro-level and concerns the way communication is conceived by museum professionals. This result actually reinforces one of the methodological principle upon which the EPA Diacorpus was built, that regarding the appropriateness of an hybrid corpus comprising British and American EPAs (see chapter 6). Since the beginning of the study, in fact, we have been arguing for the similarity of British and American EPAs, so that they can be studied together in order to obtain a detailed picture of the genre. As pointed out by McLean (2012: 42), “marketing was introduced to American museums at roughly the same period as to UK museums […]. Nevertheless American museums have led",conclusion,conclusion_2
"In general terms, we may point out that only a few differences were highlighted; moreover, the most relevant discrepancy is at a macro-level and concerns the way communication is conceived by museum professionals.","*.doc or *.pdf. These electronic formats reproduce the aspect of a printed – and therefore static – document, the same that EPAs already had in the 1950s, when they were typewritten. As a consequence, EPA writers do not have to keep the content short to fit the screen but are free to write as long as they need. The fixed layout also minimizes the effects of multimodality, hypertextuality and interactivity, typical features of web pages, on EPAs, living their second life on the web as separate, independent creatures. 10.3 Differences between the American and British sub-corpora As the EPA Diacorpus is almost equally divided into two sub-sections, one comprising American EPAs and one comprising British EPAs, the difference between the two in terms of diachronic variation was a research question worthy of investigation.","This result actually reinforces one of the methodological principle upon which the EPA Diacorpus was built, that regarding the appropriateness of an hybrid corpus comprising British and American EPAs (see chapter 6). Since the beginning of the study, in fact, we have been arguing for the similarity of British and American EPAs, so that they can be studied together in order to obtain a detailed picture of the genre. As pointed out by McLean (2012: 42), “marketing was introduced to American museums at roughly the same period as to UK museums […]. Nevertheless American museums have led the field in adopting marketing techniques and innovating with marketing practice”. According to our analysis, which reflected the primacy of the United States in the field of museum public relations, this statement turns",conclusion,conclusion_2
